Titles,Descriptions,Label
"AI Art Site Uses ChatGPT Technology to Create Nearly 4,000 Unique Poems and Songs","SAN DIEGO, Jan. 5, 2023 /PRNewswire/ -- artAistry.com, an art website specializing in AI wall art, is setting a new standard for the creation of art with the help of ChatGPT technology. The site has now added nearly",1
UPDATE 2-ChatGPT creator OpenAI in talks for tender offer valuing company at $29 bln - WSJ,"OpenAI, the artificial intelligence research lab behind chatbot ChatGPT, is in talks to sell existing shares in a tender offer that would value the company at about $29 billion, the Wall Street Journal reported on Thursday, citing people familiar with the matter.",1
Got It AI Develops AI to Identify and Address ChatGPT Hallucinations for Enterprise Applications,"PALO ALTO, Calif., Jan. 13, 2023 (GLOBE NEWSWIRE) -- Got It AI, the Autonomous Conversational AI company, announced an innovative new &#34;Truth Checker&#34; AI that can identify when ChatGPT is hallucinating",0
Microsoft in talks to invest $10 billion in ChatGPT-owner OpenAI - Semafor,"(Reuters) -Microsoft Corp is in talks to invest $10 billion in ChatGPT-owner OpenAI as part of funding that will value the firm at $29 billion, Semafor reported on Monday, citing people familiar with the matter.",1
UPDATE 2-Microsoft in talks to invest $10 bln in ChatGPT-owner OpenAI - Semafor,"Microsoft Corp is in talks to invest $10 billion in ChatGPT-owner OpenAI as part of funding that will value the firm at $29 billion, Semafor reported on Monday, citing people familiar with the matter.",1
"Microsoft’s Investment in ChatGPT Poses Challenge for Google, Analysts Say","Microsoft is reportedly in talks over a further investment in OpenAI, the developer of ChatGPT. ",1
Microsoft reportedly plans to invest $10 billion in creator of buzzy A.I. tool ChatGPT,"A bet on ChatGPT could help Microsoft boost its efforts in web search, a market dominated by Google.",1
"Microsoft (MSFT) Might Invest $10B in ChatGPT Owner, OpenAI","Microsoft (MSFT) might invest as much as $10 billion in OpenAI, the creator of viral artificial intelligence bot ChatGPT, to develop consumer technology on Microsoft Cloud.",1
UPDATE 1-Microsoft in talks to invest $10 bln in ChatGPT owner -Semafor,"Microsoft Corp is in talks to invest $10 billion into OpenAI, the owner of ChatGPT, which will value the San Francisco-based firm at $29 billion, Semafor reported on Monday, citing people familiar with the matter.",1
Microsoft in talks to invest $10 billion in ChatGPT owner -Semafor,"Microsoft Corp is said to be in talks to invest $10 billion into OpenAI, the owner of ChatGPT, Semafor reported on Monday, citing people familiar with the matter.",1
"Microsoft’s Investment in OpenAI Poses Challenge for Google, Analysts Say","Microsoft is reportedly in talks over a further investment in OpenAI, the developer of ChatGPT. ",1
Microsoft to expand ChatGPT access as OpenAI investment rumors swirl,"Microsoft Corp on Monday said it is widening access to hugely popular software from OpenAI, a startup it is backing whose futuristic ChatGPT chatbot has captivated Silicon Valley.",1
Emplifi Launches AI Composer Using OpenAI&#39;s GPT-3 Framework to Generate Ready-to-Publish Social Media Copy for Businesses,"Brands increase operational efficiency, productivity and workforce optimization by leveraging OpenAI&#39;s GPT-3 language and learning models for automatic social media content generation. Emplifi, the leading unified",1
Top French university bans use of ChatGPT to prevent plagiarism,"Sciences Po, one of France's top universities, has banned the use of ChatGPT, an artificial intelligence-based chatbot that can generate coherent prose, to prevent fraud and plagiarism.",0
Microsoft Boosts Investment in ChatGPT Parent OpenAI,Microsoft's investment in artificial-intelligence software firm OpenAI is reportedly worth $10 billion over multiple years.,1
Microsoft announces multibillion-dollar investment in ChatGPT-maker OpenAI,"Microsoft announced a new multiyear, multibillion-dollar investment with the artificial intelligence lab OpenAI, according to a release Monday. ",1
UPDATE 1-Microsoft to invest more in OpenAI as tech race heats up,"Microsoft Corp said on Monday it would invest more in OpenAI, staking its future on the startup and tech behind the chatbot sensation ChatGPT, as well as setting the stage for more competition with its rival Alphabet Inc's Google.",1
Microsoft to invest more in OpenAI as arms race in tech heats up,"Microsoft Corp said on Monday it would invest more in OpenAI, staking its future on the startup and technology behind the chatbot sensation ChatGPT and setting the stage for more competition with its rival Alphabet Inc's Google.",1
ChatGPT ignited a new A.I. craze. What it means for tech companies and who's best positioned to benefit,"Since the launch of ChatGPT late last year, no one in the tech world can seem to stop talking about artificial intelligence. ",1
ChatGPT Plagiarism - New Tool Lets Teachers Know If AI Wrote a Student Essay,"A young and ambitious web developer&#39;s successful attempt at ensuring that student essays are &#39;Not Dead&#39; as claimed by proponents of ChatGPT. TORONTO, Feb. 3, 2023 /PRNewswire/ -- Tomer Tarsky, an AI",2
"EXCLUSIVE-EU's Breton warns of ChatGPT risks, AI rules seek to tackle concerns","EU industry chief Thierry Breton said new artificial intelligence rules will aim to tackle concerns about the risks of ChatGPT and ensure Europeans can trust artificial intelligence technology, the first comments by a senior EU official amid concerns about the chatbot from OpenAI",0
"ChatGPT May Already Be Used In Nation State Cyberattacks, Say IT Decision Makers in BlackBerry Global Research","51% of IT decision makers believe there will be a successful cyberattack credited to ChatGPT within the year 95% believe governments have a responsibility to regulate advanced technologies, such as ChatGPTWATERLOO, ON,",0
UPDATE 1-ChatGPT sets record for fastest-growing user base - analyst note,"ChatGPT, the popular chatbot from OpenAI, is estimated to have reached 100 million monthly active users in January, just two months after launch, making it the fastest-growing consumer application in history, according to a UBS study on Wednesday.",1
ChatGPT Launching Paid Subscription for AI Chatbot,"For $20 a month, ChatGPT Plus subscribers will get better access to ChatGPT, faster response times, and first dibs on new features and improvements. ",2
Microsoft rolls out ChatGPT-powered Teams Premium,Microsoft Corp on Wednesday rolled out a premium Teams messaging offering powered by ChatGPT to simplify meetings using the AI chatbot that has taken Silicon Valley by a storm.,1
ChatGPT Users Topped 100 Million in January. Investors Are Betting Big on AI.,"ChatGPT has reached the 100 million-user level faster than previous red-hot applications such as TikTok, according to UBS analyst Lloyd Walmsley.",1
OpenAI launches ChatGPT subscription plan for $20 per month,"ChatGPT owner OpenAI said on Wednesday it is launching a pilot subscription plan for its popular AI-powered chatbot, called ChatGPT Plus, for $20 per month.",1
OpenAI comes up with a way to check if text was written by a human or not,OpenAI acknowledges shortcomings in its tool for spotting synthetic text but says it's stronger at dealing with outputs from more recent AI models.,2
"OpenAI Generated NFTs Can Now Be Created by Hubspot, Google and Shopify Forms Thanks to idexo Product Release That Unlocks New Opportunities for Marketers","LONDON, Jan. 30, 2023 /PRNewswire/ -- idexo is pleased to announce the release of a new OpenAI integration through its existing integration with Zapier that enables any web form system to be used to create NFTs with the",2
"Appy Pie&#39;s Chatbot Builder is Now Powered by GPT-3, the Driving Force behind ChatGPT","HAMPTON, Va., Feb. 12, 2023 /PRNewswire/ -- Appy Pie Chatbot, a no-code chatbot building platform, is now powered by OpenAI&#39;s GPT-3 technology, the backbone of ChatGPT. GPT-3&#39;s incorporation into the Appy Pie",2
UPDATE 1-ChatGPT frenzy sweeps China as firms scramble for home-grown options,"Microsoft-backed OpenAI has kept its hit ChatGPT app off-limits to users in China, but the app is attracting huge interest in the country, with firms rushing to integrate the technology into their products and launch rival solutions.",1
"UPDATE 1-Hanwang, bellwether of Chinese ChatGPT frenzy, under regulatory scrutiny","The Shenzhen Stock Exchange said on Friday it had put Hanwang Technology Co Ltd, widely seen as a bellwether of Chinese ChatGPT-concept stocks, on its ""focus watch list"" following recent ""abnormal"" gains in its share price.",0
Bill Gates thinks A.I. like ChatGPT is the 'most important' innovation right now,"Microsoft co-founder Bill Gates thinks AI software like ChatGPT is the most important innovation right now, and could change healthcare and education for good.",1
JD.com Jumps on the ChatGPT Bandwagon. Why It Signals That AI Fever Is Cooling.,JD.com is just the latest tech giant—let alone a Chinese one—to announce plans for a ChatGPT-style AI tool. The stock market hasn't cheered.,2
CORRECTED-ChatGPT frenzy sweeps China as firms scramble for home-grown options,"Microsoft-backed OpenAI has kept its hit ChatGPT app off-limits to users in China but the app is attracting huge interest in the country, with firms rushing to integrate the technology into their products and launch rival solutions.",1
Chinese e-commerce giant JD.com to launch ChatGPT-style product,"JD.com said it will release an ""industrial version"" of ChatGPT called ChatJD. It will be a chatbot product focused on the fields of retail and finance.",2
Iris Dating Integrates ChatGPT AI Technology to Create Engaging and Authentic Profile Bios,"Iris Dating, the next-generation dating app that utilizes artificial intelligence to predict mutual attraction, announces the integration of ChatGPT into its platform. This integration will allow the app to generate",2
ConnectWise integrates with OpenAI to solve complex problems and save time for MSPs,"TAMPA, Fla., Feb. 09, 2023 (GLOBE NEWSWIRE) -- ConnectWise, the world&#39;s leading software company dedicated to the success of IT solution providers, today announced an integration with OpenAI&#39;s ChatGPT, the cutting-edge",1
"The AI State of the Union Experience: FiscalNote Combines Proprietary Datasets &amp; AI With OpenAI Platform to Transform Analysis of Presidential State of the Union Addresses, Building on Its Decade-Long Track Record of AI-Driven Solutions &amp; Expertise",FIscalNote Leverages OpenAI&#39;s GPT to Propose a Groundbreaking ‘AI State of the Union Address&#39; in Advance of President Biden&#39;s Speech Highly-Partisan Rhetoric in State of the Union Speeches is at Highest Level in Over,2
Bing Chat Is Far Better Than ChatGPT. Just Don’t Ask About Stocks.,Microsoft’s new Bing Chat is already making ChatGPT look old-fashioned. But the chatbot struggled to answer questions about the stock market.,2
"Bloomreach Launches AI Content Generation for Email, SMS, and Push Notifications with ChatGPT Integration","MOUNTAIN VIEW, Calif., Feb. 16, 2023 /PRNewswire/ -- Bloomreach, the world&#39;s #1 Commerce Experience Cloud, today announced the expansion of its AI/ML capabilities with the launch of a ChatGPT integration for",2
"Elon Musk, who co-founded firm behind ChatGPT, warns A.I. is 'one of the biggest risks' to civilization","ChatGPT ""has illustrated to people just how advanced AI has become,"" according to Musk.",0
Pop Culture Group announces subsidiary&#39;s plan to accelerate digitization through ChatGPT,"XIAMEN, China, Feb. 15, 2023 /PRNewswire/ -- Pop Culture Group (CPOP) announced today that its subsidiary, Shenzhen Pupu Digital Industry Development Cooperation, will dedicate itself to developing programs where ChatGPT",2
China's tech giants are launching ChatGPT clones — and Beijing is watching closely,Chinese technology giants from Alibaba to Baidu have announced their intentions to launch ChatGPT-style products.,2
UPDATE 1-Beijing to support key firms in building ChatGPT-like AI models,"China's capital Beijing will support leading enterprises in building large artificial intelligence (AI) models that can challenge ChatGPT, the city's economy and information technology bureau said on Monday.",1
CORRECTED-UPDATE 1-ChatGPT frenzy sweeps China as firms scramble for home-grown options,"Microsoft-backed OpenAI has kept its hit ChatGPT app off-limits to users in China, but the app is attracting huge interest in the country, with firms rushing to integrate the technology into their products and launch rival solutions.",1
CORRECTED-RPT-UPDATE 1-ChatGPT frenzy sweeps China as firms scramble for home-grown options,"Microsoft-backed OpenAI has kept its hit ChatGPT app off-limits to users in China, but the app is attracting huge interest in the country, with firms rushing to integrate the technology into their products and launch rival solutions.",1
"Creatd, Inc. Uses OpenAI Tools to Enhance Moderation, Curation, and Content Generation on its Flagship Product Vocal.","OpenAI expected to accelerate the Company&#39;s cash flow break even plans.Strategy includes automating methods for moderation, curation, and content creation.Future updates give the creator direct access to OpenAI tools",1
China says it sees the potential of ChatGPT-like technology,BEIJING (Reuters) -China's Ministry of Science and Technology said on Friday said it saw the potential of ChatGPT-like tech and would be pushing for the integration of artificial intelligence into Chinese society and the economy.,1
Birdeye Adds ChatGPT Model to its AI Platform,Local brands and businesses can now automate review and survey responses with AI OpenAI&#39;s ChatGPT has opened up a world of possibilities for digital customer experiences. Birdeye has created a new review and survey,1
Baidu’s ChatGPT-Style Bot Will Be No Magic Bullet,"The Chinese company is riding the chatbot wave higher, but whether its ChatGPT-like bot can recharge stagnant advertising revenue is an open question.",1
"Baidu's ChatGPT-like app will revolutionise its search engine, says CEO","China's Baidu Inc will use its ChatGPT-like app Ernie Bot to create a ""revolutionary"" version of its popular search engine, the company's CEO said on Wednesday.",1
JustAnswer Launches Easy Tool to Immediately Verify ChatGPT-Generated Responses Via a Vetted Human Expert,"New ChatGPT Verifier Site From Popular Expert Platform Offers Peace of Mind for Life&#39;s Critical Questions SAN FRANCISCO, Feb. 22, 2023 /PRNewswire/ -- Popular expert platform JustAnswer has launched a new tool that",2
Virtualspeech brings ChatGPT Conversational AI to VR Soft Skills Training,"LONDON, Feb. 21, 2023 /PRNewswire/ -- Virtualspeech, a leading provider of virtual reality training, has integrated ChatGPT, an AI language model, into its soft skills training. This integration will enhance realistic",1
